;"winsor-newton-lab.txt" color dictionary
;Copyright 2010 Aubrey Jaffer
;
;Permission to copy this dictionary, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1.  Any copy made of this dictionary must include this copyright notice
;in full.
;
;2.  I have made no warranty or representation that this data is
;error-free, and I am under no obligation to provide any services, by
;way of maintenance, update, or otherwise.
;
;3.  In conjunction with products arising from the use of this material,
;there shall be no use of my name in any advertising, promotional, or
;sales literature without prior written consent in each case.

XCMS_COLORDB_START 0.1
perm sap green light		CIELab:75.99/-14.26/64.55
PermSapGreenLight		CIELab:75.99/-14.26/64.55
perm sap green medium		CIELab:59.63/-16.15/70.67
PermSapGreenMedium		CIELab:59.63/-16.15/70.67
perm sap green dark		CIELab:44.55/-14.76/56.06
PermSapGreenDark		CIELab:44.55/-14.76/56.06
prussian green light		CIELab:51.64/-21.80/31.57
PrussianGreenLight		CIELab:51.64/-21.80/31.57
prussian green medium		CIELab:34.86/-24.64/27.00
PrussianGreenMedium		CIELab:34.86/-24.64/27.00
prussian green dark		CIELab:34.10/-25.26/26.90
PrussianGreenDark		CIELab:34.10/-25.26/26.90
green light			CIELab:35.48/-56.30/10.98
GreenLight			CIELab:35.48/-56.30/10.98
green medium			CIELab:21.51/-47.23/5.75
GreenMedium			CIELab:21.51/-47.23/5.75
green dark			CIELab:10.60/-23.96/-2.58
GreenDark			CIELab:10.60/-23.96/-2.58
green yellow light		CIELab:39.11/-55.53/28.92
GreenYellowLight		CIELab:39.11/-55.53/28.92
green yellow medium		CIELab:33.51/-53.16/25.03
GreenYellowMedium		CIELab:33.51/-53.16/25.03
green yellow dark		CIELab:31.84/-52.60/24.02
GreenYellowDark			CIELab:31.84/-52.60/24.02
viridian light			CIELab:67.22/-24.90/10.91
ViridianLight			CIELab:67.22/-24.90/10.91
viridian medium			CIELab:49.18/-38.76/9.39
ViridianMedium			CIELab:49.18/-38.76/9.39
viridian dark			CIELab:38.43/-43.55/9.34
ViridianDark			CIELab:38.43/-43.55/9.34
co green deep light		CIELab:82.34/-7.52/19.61
CoGreenDeepLight		CIELab:82.34/-7.52/19.61
co green deep medium		CIELab:67.73/-15.29/19.10
CoGreenDeepMedium		CIELab:67.73/-15.29/19.10
co green deep dark		CIELab:39.72/-23.83/16.79
CoGreenDeepDark			CIELab:39.72/-23.83/16.79
cr green deep light		CIELab:65.97/-20.69/11.07
CrGreenDeepLight		CIELab:65.97/-20.69/11.07
cr green deep medium		CIELab:32.93/-23.53/9.43
CrGreenDeepMedium		CIELab:32.93/-23.53/9.43
cr green deep dark		CIELab:27.89/-16.46/5.63
CrGreenDeepDark			CIELab:27.89/-16.46/5.63
oxide of cr light		CIELab:57.76/-16.35/29.67
OxideOfCrLight			CIELab:57.76/-16.35/29.67
oxide of cr medium		CIELab:48.67/-18.96/28.53
OxideOfCrMedium			CIELab:48.67/-18.96/28.53
oxide of cr dark		CIELab:41.69/-19.61/25.72
OxideOfCrDark			CIELab:41.69/-19.61/25.72
terre verte light		CIELab:77.21/-10.88/19.97
TerreVerteLight			CIELab:77.21/-10.88/19.97
terre verte medium		CIELab:60.14/-16.75/22.74
TerreVerteMedium		CIELab:60.14/-16.75/22.74
terre verte dark		CIELab:58.34/-17.19/22.78
TerreVerteDark			CIELab:58.34/-17.19/22.78
perm green deep light		CIELab:48.57/-56.15/26.91
PermGreenDeepLight		CIELab:48.57/-56.15/26.91
perm green deep medium		CIELab:35.07/-55.98/21.53
PermGreenDeepMedium		CIELab:35.07/-55.98/21.53
perm green deep dark		CIELab:26.04/-47.40/14.23
PermGreenDeepDark		CIELab:26.04/-47.40/14.23
perm green light		CIELab:63.26/-44.02/36.05
PermGreenLight			CIELab:63.26/-44.02/36.05
perm green medium		CIELab:51.60/-52.17/36.90
PermGreenMedium			CIELab:51.60/-52.17/36.90
perm green dark			CIELab:46.39/-53.44/35.07
PermGreenDark			CIELab:46.39/-53.44/35.07
perm green pale light		CIELab:62.12/-33.29/46.56
PermGreenPaleLight		CIELab:62.12/-33.29/46.56
perm green pale medium		CIELab:50.80/-38.80/40.31
PermGreenPaleMedium		CIELab:50.80/-38.80/40.31
perm green pale dark		CIELab:44.48/-39.09/33.96
PermGreenPaleDark		CIELab:44.48/-39.09/33.96
emerald light			CIELab:69.24/-46.06/26.98
EmeraldLight			CIELab:69.24/-46.06/26.98
emerald medium			CIELab:59.08/-51.09/25.15
EmeraldMedium			CIELab:59.08/-51.09/25.15
emerald dark			CIELab:49.61/-45.69/17.27
EmeraldDark			CIELab:49.61/-45.69/17.27
cd green light			CIELab:73.33/-25.14/56.96
CdGreenLight			CIELab:73.33/-25.14/56.96
cd green medium			CIELab:63.00/-33.96/59.84
CdGreenMedium			CIELab:63.00/-33.96/59.84
cd green dark			CIELab:52.25/-38.54/52.14
CdGreenDark			CIELab:52.25/-38.54/52.14
cd green pale light		CIELab:76.37/-22.09/83.72
CdGreenPaleLight		CIELab:76.37/-22.09/83.72
cd green pale medium		CIELab:69.37/-25.34/76.84
CdGreenPaleMedium		CIELab:69.37/-25.34/76.84
cd green pale dark		CIELab:67.35/-25.33/75.64
CdGreenPaleDark			CIELab:67.35/-25.33/75.64
co green light			CIELab:78.95/-11.37/13.38
CoGreenLight			CIELab:78.95/-11.37/13.38
co green medium			CIELab:69.62/-18.67/9.53
CoGreenMedium			CIELab:69.62/-18.67/9.53
co green dark			CIELab:54.31/-27.85/4.86
CoGreenDark			CIELab:54.31/-27.85/4.86
co turquoise light		CIELab:65.18/-18.28/-7.92
CoTurquoiseLight		CIELab:65.18/-18.28/-7.92
co turquoise medium		CIELab:48.36/-24.77/-15.69
CoTurquoiseMedium		CIELab:48.36/-24.77/-15.69
co turquoise dark		CIELab:39.39/-26.36/-17.53
CoTurquoiseDark			CIELab:39.39/-26.36/-17.53
pthalo turquoise light		CIELab:55.53/-32.21/-30.23
PthaloTurquoiseLight		CIELab:55.53/-32.21/-30.23
pthalo turquoise medium		CIELab:35.03/-34.56/-34.83
PthaloTurquoiseMedium		CIELab:35.03/-34.56/-34.83
pthalo turquoise dark		CIELab:21.00/-23.16/-25.27
PthaloTurquoiseDark		CIELab:21.00/-23.16/-25.27
indigo light			CIELab:58.09/-5.84/-3.71
IndigoLight			CIELab:58.09/-5.84/-3.71
indigo medium			CIELab:14.91/-3.15/-11.82
IndigoMedium			CIELab:14.91/-3.15/-11.82
indigo dark			CIELab:5.81/-0.23/-3.19
IndigoDark			CIELab:5.81/-0.23/-3.19
prussian blue light		CIELab:69.23/-13.82/-8.76
PrussianBlueLight		CIELab:69.23/-13.82/-8.76
prussian blue medium		CIELab:35.89/-12.66/-37.21
PrussianBlueMedium		CIELab:35.89/-12.66/-37.21
prussian blue dark		CIELab:6.48/6.81/-28.08
PrussianBlueDark		CIELab:6.48/6.81/-28.08
indathrene blue light		CIELab:28.63/4.21/-49.89
IndathreneBlueLight		CIELab:28.63/4.21/-49.89
indathrene blue medium		CIELab:18.70/12.14/-48.61
IndathreneBlueMedium		CIELab:18.70/12.14/-48.61
indathrene blue dark		CIELab:14.02/13.91/-41.49
IndathreneBlueDark		CIELab:14.02/13.91/-41.49
ultramarine light		CIELab:44.28/5.01/-60.24
UltramarineLight		CIELab:44.28/5.01/-60.24
ultramarine medium		CIELab:30.85/17.31/-72.01
UltramarineMedium		CIELab:30.85/17.31/-72.01
ultramarine dark		CIELab:26.26/22.27/-68.82
UltramarineDark			CIELab:26.26/22.27/-68.82
ultramarine green light		CIELab:62.03/-7.86/-32.78
UltramarineGreenLight		CIELab:62.03/-7.86/-32.78
ultramarine green medium	CIELab:37.23/0.73/-64.62
UltramarineGreenMedium		CIELab:37.23/0.73/-64.62
ultramarine green dark		CIELab:27.10/13.27/-66.15
UltramarineGreenDark		CIELab:27.10/13.27/-66.15
blue red light			CIELab:55.78/-19.71/-32.15
BlueRedLight			CIELab:55.78/-19.71/-32.15
blue red medium			CIELab:31.83/-15.45/-53.76
BlueRedMedium			CIELab:31.83/-15.45/-53.76
blue red dark			CIELab:26.65/-11.26/-54.90
BlueRedDark			CIELab:26.65/-11.26/-54.90
blue green light		CIELab:37.96/-19.71/-52.80
BlueGreenLight			CIELab:37.96/-19.71/-52.80
blue green medium		CIELab:22.16/-6.04/-46.12
BlueGreenMedium			CIELab:22.16/-6.04/-46.12
blue green dark			CIELab:14.31/1.42/-35.91
BlueGreenDark			CIELab:14.31/1.42/-35.91
co blue deep light		CIELab:51.93/-1.33/-45.04
CoBlueDeepLight			CIELab:51.93/-1.33/-45.04
co blue deep medium		CIELab:37.43/4.30/-59.73
CoBlueDeepMedium		CIELab:37.43/4.30/-59.73
co blue deep dark		CIELab:33.75/6.77/-62.86
CoBlueDeepDark			CIELab:33.75/6.77/-62.86
co blue light			CIELab:74.43/-7.76/-14.69
CoBlueLight			CIELab:74.43/-7.76/-14.69
co blue medium			CIELab:57.52/-10.13/-37.11
CoBlueMedium			CIELab:57.52/-10.13/-37.11
co blue dark			CIELab:44.29/-11.34/-48.53
CoBlueDark			CIELab:44.29/-11.34/-48.53
cerulean blue light		CIELab:54.86/-20.14/-29.52
CeruleanBlueLight		CIELab:54.86/-20.14/-29.52
cerulean blue medium		CIELab:36.90/-17.40/-38.72
CeruleanBlueMedium		CIELab:36.90/-17.40/-38.72
cerulean blue dark		CIELab:34.63/-15.82/-38.39
CeruleanBlueDark		CIELab:34.63/-15.82/-38.39
mn blue light			CIELab:81.24/-14.20/-3.37
MnBlueLight			CIELab:81.24/-14.20/-3.37
mn blue medium			CIELab:65.71/-27.01/-22.39
MnBlueMedium			CIELab:65.71/-27.01/-22.39
mn blue dark			CIELab:57.18/-32.44/-30.26
MnBlueDark			CIELab:57.18/-32.44/-30.26
purple madder light		CIELab:26.13/28.34/7.15
PurpleMadderLight		CIELab:26.13/28.34/7.15
purple madder medium		CIELab:18.70/23.17/9.35
PurpleMadderMedium		CIELab:18.70/23.17/9.35
purple madder dark		CIELab:16.96/22.15/10.08
PurpleMadderDark		CIELab:16.96/22.15/10.08
purple lake light		CIELab:38.26/21.75/-4.99
PurpleLakeLight			CIELab:38.26/21.75/-4.99
purple lake medium		CIELab:17.57/16.05/-2.81
PurpleLakeMedium		CIELab:17.57/16.05/-2.81
purple lake dark		CIELab:10.47/9.53/0.76
PurpleLakeDark			CIELab:10.47/9.53/0.76
magenta light			CIELab:57.55/35.33/-19.13
MagentaLight			CIELab:57.55/35.33/-19.13
magenta medium			CIELab:45.08/42.71/-23.89
MagentaMedium			CIELab:45.08/42.71/-23.89
magenta dark			CIELab:39.18/43.69/-23.58
MagentaDark			CIELab:39.18/43.69/-23.58
perm magenta light		CIELab:60.41/16.89/-16.01
PermMagentaLight		CIELab:60.41/16.89/-16.01
perm magenta medium		CIELab:37.43/35.43/-19.90
PermMagentaMedium		CIELab:37.43/35.43/-19.90
perm magenta dark		CIELab:23.87/38.97/0.76
PermMagentaDark			CIELab:23.87/38.97/0.76
